ID,Name,Description,ColumnSpec
bathe_intr,bathe.INTR,'to bathe (INTR)',
be,be,'to be',
come,come,'to come',
cry,cry,'to cry',
enter,enter,'to enter',
go,go,'to go',
go_down,go.down,'to go down',
learn,learn,'to learn',
lie_down,lie.down,'to lie down',
run,run,'to run',
say,say,'to say',
sit_down,sit.down,'to sit down',
sleep,sleep,'to sleep',
stay_back,stay.back,'to stay back',
talk,talk,'to talk',
tremble,tremble,'to tremble',
yawn,yawn,'to yawn',
dance,dance,'to dance',
go_up,go.up,'to go up',
arrive,arrive,'to arrive',
be_afraid,be.afraid,'to be afraid',
cut_self,cut.self,'to cut self',
fall,fall,'to fall',
walk,walk,'to walk',
eat,eat,'to eat',
see_self,see.self,'to see self',
wash_self,wash.self,'to wash self',
defecate,defecate,'to defecate',
bathe_tr,bathe.TR,'to bathe (TR)',
1_bathe_intr,1-bathe.INTR,First person form of 'to bathe (INTR)',
1_be,1-be,First person form of 'to be',
1_come,1-come,First person form of 'to come',
1_cry,1-cry,First person form of 'to cry',
1_enter,1-enter,First person form of 'to enter',
1_go,1-go,First person form of 'to go',
1_go_down,1-go.down,First person form of 'to go down',
1_learn,1-learn,First person form of 'to learn',
1_lie_down,1-lie.down,First person form of 'to lie down',
1_run,1-run,First person form of 'to run',
1_say,1-say,First person form of 'to say',
1_sit_down,1-sit.down,First person form of 'to sit down',
1_sleep,1-sleep,First person form of 'to sleep',
1_stay_back,1-stay.back,First person form of 'to stay back',
1_talk,1-talk,First person form of 'to talk',
1_tremble,1-tremble,First person form of 'to tremble',
1_yawn,1-yawn,First person form of 'to yawn',
1_dance,1-dance,First person form of 'to dance',
1_go_up,1-go.up,First person form of 'to go up',
1_arrive,1-arrive,First person form of 'to arrive',
1_be_afraid,1-be.afraid,First person form of 'to be afraid',
1_cut_self,1-cut.self,First person form of 'to cut self',
1_fall,1-fall,First person form of 'to fall',
1_walk,1-walk,First person form of 'to walk',
1_eat,1-eat,First person form of 'to eat',
1_see_self,1-see.self,First person form of 'to see self',
1_wash_self,1-wash.self,First person form of 'to wash self',
DAT,DAT,'DAT',
dog,dog,'dog',
capuchin_monkey,capuchin.monkey,'capuchin monkey',
